order_id,customer_id,city,restaurant,cuisine,order_amount,delivery_time_mins,rating,order_status,payment_mode,order_date
40,1474,Mumbai,Biryani House,North Indian,709.13,28,4.7,Pending,Wallet,2024-01-04
1603,1936,Bangalore,Spice Hub,North Indian,938.23,40,3.6,Pending,Wallet,2024-02-02
3344,1252,Mumbai,Pizza World,Desserts,470.62,43,4.7,Cancelled,UPI,2024-01-17
4549,1419,Mumbai,Biryani House,Desserts,1448.17,23,4.2,Pending,Wallet,2024-04-22
3610,1630,Hyderabad,Urban Tadka,,567.3,10,3.4,Delivered,Wallet,2024-09-05
2202,1900,Bangalore,Biryani House,Italian,396.06,38,4.1,Pending,Wallet,2024-04-24
2305,1334,Kolkata,Spice Hub,Desserts,420.86,59,3.6,Delivered,Wallet,2024-12-25
4329,1264,Kolkata,Foodies Point,Italian,1328.61,21,4.4,Cancelled,Card,2024-12-16
4304,1274,Delhi,Pizza World,North Indian,1470.64,12,3.0,Delivered,Wallet,2024-06-01
4226,1935,Bangalore,Spice Hub,North Indian,842.31,25,4.8,Cancelled,Wallet,2024-12-24
3131,1516,Delhi,Urban Tadka,South Indian,1447.83,22,4.0,Cancelled,Card,2024-08-01
2771,1205,Kolkata,Spice Hub,Italian,874.2,52,1.4,Pending,UPI,2024-04-13
926,1228,Mumbai,Urban Tadka,North Indian,1359.85,29,1.1,Pending,Cash,2024-09-28
190,1857,Hyderabad,Biryani House,Chinese,655.25,39,1.8,Pending,UPI,2024-04-12
4525,1300,Chennai,Biryani House,North Indian,142.08,39,4.7,Cancelled,Card,2024-04-19
2373,1973,Bangalore,Foodies Point,Chinese,892.47,10,1.1,Pending,UPI,2024-01-16
150,1772,Bangalore,Pizza World,North Indian,1248.79,45,4.7,Cancelled,Wallet,2024-06-25
2176,1616,Chennai,Biryani House,Desserts,1373.53,54,1.5,Delivered,Card,2024-03-12
3781,1210,Mumbai,Urban Tadka,Chinese,523.7,50,3.9,Delivered,Card,2024-07-03
3205,1742,Chennai,Biryani House,North Indian,1164.91,38,1.8,Delivered,Card,2024-06-23
3986,1680,Hyderabad,Spice Hub,Desserts,759.73,27,3.0,Pending,Wallet,2024-01-24
4750,1908,Delhi,Pizza World,Italian,260.52,18,2.3,Cancelled,UPI,2024-05-20
536,1824,Bangalore,Biryani House,,999.9,32,1.8,Pending,UPI,2024-12-28
2842,1286,Delhi,Sushi Zen,Fast Food,1150.84,30,,Pending,Card,2024-05-30
2470,1494,Hyderabad,Biryani House,Italian,1017.46,24,4.6,Cancelled,Card,2024-08-11
4900,1725,Bangalore,Spice Hub,Fast Food,568.38,41,2.5,Pending,Cash,2024-08-15
1269,1110,Hyderabad,Sushi Zen,South Indian,1056.71,35,2.3,Delivered,Wallet,2024-04-29
1839,1377,,Foodies Point,North Indian,186.16,51,4.4,Delivered,UPI,2024-12-19
2857,1160,Hyderabad,,North Indian,784.32,13,4.1,Delivered,Cash,2024-04-25
3972,1707,Kolkata,Spice Hub,,951.09,34,2.8,Delivered,Card,2024-12-01
731,1969,Bangalore,Urban Tadka,Desserts,243.36,30,4.4,Pending,UPI,2024-07-07
2855,1574,Bangalore,Biryani House,Desserts,642.47,48,3.6,Cancelled,UPI,2024-07-18
4820,1757,Chennai,Biryani House,Italian,771.35,10,3.2,Pending,Wallet,2024-11-18
3866,1581,Hyderabad,Biryani House,,397.25,16,2.4,Pending,UPI,2024-05-29
4220,1723,Hyderabad,Spice Hub,Fast Food,199.12,40,4.2,Cancelled,Cash,2024-01-14
2068,1747,Bangalore,Spice Hub,North Indian,320.92,15,3.1,Delivered,Cash,2024-10-16
1039,1996,Chennai,Foodies Point,Desserts,352.34,19,2.2,Cancelled,Card,2024-07-12
804,1884,Bangalore,Foodies Point,North Indian,299.93,17,1.1,Delivered,Card,2024-01-08
2788,1183,Delhi,Urban Tadka,Fast Food,273.85,21,2.1,Cancelled,Cash,2024-03-26
3274,1205,Bangalore,Pizza World,Fast Food,274.22,39,2.2,Pending,Cash,2024-11-16
